SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,NYY,25,0,0,0,30.1,29,18,18,3,15,36,4,0,0,0,0,0.0,1.45,5.34
2009,NYY,45,0,0,0,43.2,36,19,16,4,23,63,2,1,1,5,0,0.6,1.35,3.30
2010,NYY,64,0,0,0,61.1,59,26,26,5,33,71,4,5,1,14,2,0.7,1.50,3.82
2011,NYY,70,0,0,0,66.2,40,9,8,1,35,100,4,0,1,34,3,3.8,1.13,1.08
2012,NYY,65,0,0,0,60.2,52,19,18,5,19,81,2,7,2,30,3,1.7,1.17,2.67
2013,NYY,70,0,0,0,66.1,51,15,15,5,18,77,5,1,3,33,2,2.4,1.04,2.04
2014,NYY,63,0,0,0,64.1,45,23,22,7,23,96,4,5,39,0,5,1.2,1.06,3.08
2015,CHW,60,0,0,0,63.1,46,27,24,7,13,86,6,5,34,0,7,0.5,0.93,3.41
2016,CHW,62,0,0,0,62.1,53,24,24,6,32,75,5,3,37,0,7,1.2,1.36,3.47
2017,CHW,31,0,0,0,33.1,21,10,10,4,11,47,4,2,13,0,1,1.1,0.96,2.70
2017,NYY,30,0,0,0,35.0,14,4,4,2,12,51,5,0,1,8,1,1.8,0.74,1.03
2017,Total,61,0,0,0,68.1,35,14,14,6,23,98,9,2,14,8,2,2.9,0.85,1.84
2018,NYY,22,0,0,0,22.0,16,12,12,2,9,27,3,2,1,6,4,-0.1,1.14,4.91
